READY,Y
SCORE,4
4,0,799.8180739830682,296.4792059929273
12,1,552.9028853794603,140.75138683422415
7,0,303.235058652588,85.2263412653177
3,0,808.7298414940553,405.7624768079151
9,1,790.1174072399467,250.8618459000366
11,1,707.3801041799347,321.5237137179094
6,0,603.6370149661793,349.64834394786624
10,1,771.2751698753385,350.89347517799257
1,0,769.9487779518903,223.1130589817436
15,1,586.2617345591246,401.2338448909723
14,1,1025.0,23.0
2,0,475.3032331600136,244.52920276001396
5,0,722.6847996086174,184.94219587142197
13,1,1025.0859193503675,45.91408064963258
8,0,100.76164522895566,404.72419861516875
16,0,276.3447196001609,167.08742177636645
